attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,5.0,2.5,partial_33,5,0,1.0,9450.0,5613,393287.2686811547,423.0000000000277,0.5008440322537319
1.0,5.0,2.5,partial_33,5,1,0.9660377358490566,7975.0,8852,606060.0,690.2000000000884,0.42516603686415
1.0,5.0,2.5,partial_33,10,0,1.0,9975.0,3413,252857.35190925002,134.09999999999667,0.5759795210167598
1.0,5.0,2.5,partial_33,10,1,0.9849056603773585,9650.0,17954,1212120.0,683.8000000000869,0.4073375306809507
1.0,5.0,2.5,partial_33,20,0,1.0,15400.0,7614,520077.5308117578,141.79999999999623,0.46492165472924935
1.0,5.0,2.5,partial_33,20,1,1.0,14225.0,3966,284485.1215229705,75.59999999999998,0.5184269480516708
1.0,5.0,2.5,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,5.0,2.5,closed_33,2,1,0.45674740484429066,825.0,1954,242424.00000000003,720.5000000000953,0.03088277762350547
1.0,5.0,2.5,closed_33,5,0,0.8529411764705882,2775.0,7739,606060.0,695.6000000000896,0.3688507475819459
1.0,5.0,2.5,closed_33,5,1,0.9584775086505191,3600.0,6374,606060.0,721.2000000000954,0.46328218716730907
1.0,5.0,2.5,closed_33,10,0,0.9896193771626297,7675.0,11678,1212120.0,719.100000000095,0.3998405354298581
1.0,5.0,2.5,closed_33,10,1,0.9930795847750865,6550.0,13015,1212120.0,721.5000000000955,0.42532099529016687
1.0,5.0,2.5,closed_33,20,0,1.0,10700.0,7636,698352.3464585096,198.09999999999303,0.45735476851559964
1.0,5.0,2.5,closed_33,20,1,1.0,11375.0,3900,306316.1089460263,83.39999999999954,0.48431212141128993
1.0,5.0,4.0,open_33,2,0,0.8668054110301769,5525.0,3301,242424.00000000003,628.2000000000743,0.4138202592613289
1.0,5.0,4.0,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,5.0,4.0,open_33,5,0,1.0,13000.0,3378,246865.16507362842,253.89999999998986,0.5452767192594797
1.0,5.0,4.0,open_33,5,1,1.0,10375.0,3344,240876.45838623878,247.09999999999025,0.5800071450296361
1.0,5.0,4.0,open_33,10,0,1.0,14600.0,2684,198535.47668246343,101.99999999999848,0.5731257219231545
1.0,5.0,4.0,open_33,10,1,1.0,13550.0,2845,206918.56699869502,105.99999999999825,0.5818922457971053
1.0,5.0,4.0,open_33,20,0,1.0,17650.0,2758,199597.58702555858,51.60000000000046,0.5452327160462191
1.0,5.0,4.0,open_33,20,1,1.0,16150.0,2347,176931.19745767117,45.70000000000038,0.5749452645007234
