block_size,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
3,1.0,2.0,open_33,2,0,0.9146722164412071,3100.0,3336,242424.00000000003,636.8000000000762,0.494080372157479
3,1.0,2.0,open_33,2,1,0.11342351716961499,0.0,3932,242424.00000000003,648.4000000000789,-0.32292887085315164
3,1.0,2.0,open_33,5,0,0.32778355879292403,850.0,9326,606060.0,672.9000000000844,-0.11747294168907504
3,1.0,2.0,open_33,5,1,0.3433922996878252,1450.0,9692,606060.0,655.7000000000805,-0.10928001638388837
3,1.0,2.0,open_33,10,0,1.0,14975.0,4895,336144.68810456945,175.8999999999943,0.5221815593997235
3,1.0,2.0,open_33,10,1,1.0,14800.0,6138,402591.15273222537,208.79999999999242,0.507828367840077
3,1.0,2.0,open_33,20,0,1.0,16775.0,3775,264778.1705390592,68.60000000000038,0.5356284708248313
3,1.0,2.0,open_33,20,1,1.0,16575.0,3052,223635.83839735808,57.80000000000055,0.5515446287801226
3,1.0,2.0,partial_33,2,0,0.27044025157232704,675.0,3546,242424.00000000003,682.4000000000866,-0.16704317788714249
3,1.0,2.0,partial_33,2,1,0.42012578616352203,125.0,3624,242424.00000000003,665.1000000000827,-0.0008896346650310305
3,1.0,2.0,partial_33,5,0,1.0,8600.0,5308,367356.0756466285,394.1000000000211,0.5217145350687503
3,1.0,2.0,partial_33,5,1,0.8427672955974843,2975.0,8902,606060.0,685.5000000000873,0.3744159371191832
3,1.0,2.0,partial_33,10,0,1.0,9200.0,12116,819406.0241017537,452.6000000000344,0.48195871353322517
3,1.0,2.0,partial_33,10,1,1.0,10025.0,8697,591922.4931498086,323.90000000000515,0.5032681665621485
3,1.0,2.0,partial_33,20,0,1.0,15250.0,4582,322982.80040356005,86.59999999999935,0.4949224982711157
3,1.0,2.0,partial_33,20,1,1.0,13950.0,5131,349872.34876338486,93.59999999999896,0.5088337525574353
3,1.0,2.0,closed_33,2,0,0.1972318339100346,0.0,2503,242424.00000000003,712.1000000000934,-0.23414421160433724
3,1.0,2.0,closed_33,2,1,0.24048442906574394,50.0,1695,242424.00000000003,718.4000000000948,-0.18226089118479302
3,1.0,2.0,closed_33,5,0,0.5501730103806228,400.0,6274,606060.0,716.9000000000945,0.11189615504492292
3,1.0,2.0,closed_33,5,1,0.6332179930795848,1300.0,6555,606060.0,716.1000000000943,0.1776486886858061
3,1.0,2.0,closed_33,10,0,0.9238754325259516,4325.0,11959,1212120.0,730.1000000000975,0.4024617815196041
3,1.0,2.0,closed_33,10,1,1.0,6825.0,6351,544889.4327509454,306.6000000000012,0.5183970321040743
3,1.0,2.0,closed_33,20,0,1.0,9625.0,4532,385106.46086615,107.19999999999818,0.5111605246045426
3,1.0,2.0,closed_33,20,1,1.0,11150.0,6042,543185.6152455346,153.79999999999555,0.4623406222610755
3,1.0,5.0,open_33,2,0,0.6586888657648283,3500.0,3484,242424.00000000003,632.2000000000752,0.21666576658633904
3,1.0,5.0,open_33,2,1,0.11342351716961499,0.0,3932,242424.00000000003,648.4000000000789,-0.32292887085315164
3,1.0,5.0,open_33,5,0,1.0,13875.0,7887,510637.09071530023,531.4000000000523,0.4376246491305331
3,1.0,5.0,open_33,5,1,0.8158168574401665,3225.0,9265,606060.0,647.7000000000787,0.35450717544846533
3,1.0,5.0,open_33,10,0,1.0,14125.0,3355,245641.351890706,127.39999999999704,0.5611468985900872
3,1.0,5.0,open_33,10,1,1.0,15150.0,4932,335397.78208460566,174.39999999999438,0.5197762350519467
3,1.0,5.0,open_33,20,0,1.0,16125.0,3051,228382.35432290053,59.80000000000058,0.5568988686377024
3,1.0,5.0,open_33,20,1,1.0,18275.0,3179,225983.3393513672,58.50000000000056,0.5279730351747592
3,1.0,5.0,partial_33,2,0,0.27044025157232704,625.0,3518,242424.00000000003,682.9000000000867,-0.16615982671408777
3,1.0,5.0,partial_33,2,1,0.42012578616352203,125.0,3624,242424.00000000003,665.1000000000827,-0.0008896346650310305
3,1.0,5.0,partial_33,5,0,0.9874213836477987,7675.0,9072,606060.0,672.2000000000843,0.45101953320321264
3,1.0,5.0,partial_33,5,1,0.9949685534591195,9800.0,9334,606060.0,670.3000000000839,0.42603661774982526
3,1.0,5.0,partial_33,10,0,1.0,11950.0,5228,363617.8783563222,195.59999999999317,0.5158896745477827
3,1.0,5.0,partial_33,10,1,1.0,10725.0,18345,1200857.8310221506,666.1000000000829,0.40747165462835083
3,1.0,5.0,partial_33,20,0,1.0,14550.0,5301,364375.40497923456,97.9999999999987,0.49779065131452843
3,1.0,5.0,partial_33,20,1,1.0,14325.0,4666,327865.322582867,87.79999999999929,0.5079115764712157
3,1.0,5.0,closed_33,2,0,0.1972318339100346,0.0,2503,242424.00000000003,712.1000000000934,-0.23414421160433724
3,1.0,5.0,closed_33,2,1,0.24048442906574394,50.0,1695,242424.00000000003,718.4000000000948,-0.18226089118479302
3,1.0,5.0,closed_33,5,0,0.5415224913494809,375.0,6179,606060.0,714.800000000094,0.10375653541471683
3,1.0,5.0,closed_33,5,1,0.8269896193771626,2650.0,7462,606060.0,696.8000000000899,0.34558832729515976
3,1.0,5.0,closed_33,10,0,0.9896193771626297,6900.0,12088,1212120.0,725.9000000000965,0.4154768399321441
3,1.0,5.0,closed_33,10,1,0.9826989619377162,8475.0,14994,1212120.0,707.5000000000923,0.37325270978938485
3,1.0,5.0,closed_33,20,0,1.0,9450.0,4744,416593.1416216162,116.59999999999765,0.5115659317194508
3,1.0,5.0,closed_33,20,1,1.0,11000.0,7637,656274.1053346815,185.49999999999375,0.4536309894612548
3,1.0,10.0,open_33,2,0,0.5931321540062435,450.0,3443,242424.00000000003,636.5000000000762,0.1856800754237363
3,1.0,10.0,open_33,2,1,0.11342351716961499,0.0,3932,242424.00000000003,648.4000000000789,-0.32292887085315164
3,1.0,10.0,open_33,5,0,1.0,13900.0,6220,415954.5899778764,434.9000000000304,0.4674424699212667
3,1.0,10.0,open_33,5,1,1.0,14325.0,7237,484921.4272140143,507.5000000000469,0.44071788754893076
3,1.0,10.0,open_33,10,0,1.0,14625.0,4020,285259.6734367935,148.69999999999584,0.541264196904682
3,1.0,10.0,open_33,10,1,1.0,15075.0,5116,343356.7878935146,178.89999999999412,0.5182830316308624
3,1.0,10.0,open_33,20,0,1.0,17125.0,3256,237315.36579196202,62.40000000000062,0.5403863321189589
3,1.0,10.0,open_33,20,1,1.0,18050.0,3763,259089.56395997386,67.30000000000045,0.5202011353493045
3,1.0,10.0,partial_33,2,0,0.27169811320754716,625.0,3535,242424.00000000003,680.0000000000861,-0.1649049002725758
3,1.0,10.0,partial_33,2,1,0.42012578616352203,125.0,3624,242424.00000000003,665.1000000000827,-0.0008896346650310305
3,1.0,10.0,partial_33,5,0,0.9962264150943396,7975.0,8952,606060.0,674.8000000000849,0.4557888486125311
3,1.0,10.0,partial_33,5,1,0.9823899371069182,6575.0,9030,606060.0,673.2000000000845,0.4625815673033754
3,1.0,10.0,partial_33,10,0,1.0,11125.0,5784,398680.35542504815,215.39999999999205,0.5208177251534919
3,1.0,10.0,partial_33,10,1,0.9710691823899371,11475.0,18426,1212120.0,686.0000000000874,0.3654809474169981
3,1.0,10.0,partial_33,20,0,1.0,14450.0,3764,273402.976602972,72.80000000000014,0.5179106194434617
3,1.0,10.0,partial_33,20,1,1.0,14500.0,4020,291616.02248595795,77.89999999999985,0.5132893137034783
3,1.0,10.0,closed_33,2,0,0.1972318339100346,0.0,2503,242424.00000000003,712.1000000000934,-0.23414421160433724
3,1.0,10.0,closed_33,2,1,0.24048442906574394,50.0,1695,242424.00000000003,718.4000000000948,-0.18226089118479302
3,1.0,10.0,closed_33,5,0,0.5692041522491349,675.0,6200,606060.0,712.1000000000934,0.12586303652547357
