trial,seed,attract_gain,drone_repel_gain,drone_repel_range,wall_repel_gain,wall_repel_range,yaw_align_gain,velocity_align_threshold,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0,0,2.804598525401821,2.2626519418339797,2.550073967185542,4.51763774753309,1.5045716571056702,2.8988209208144977,0.16276884077279236,0.9974842767295597,6200.0,9345,606060.0,666.1000000000829,0.48292109352156165
0,1,2.804598525401821,2.2626519418339797,2.550073967185542,4.51763774753309,1.5045716571056702,2.8988209208144977,0.16276884077279236,0.9987421383647799,3200.0,10222,606060.0,660.3000000000816,0.5276189008097998
0,2,2.804598525401821,2.2626519418339797,2.550073967185542,4.51763774753309,1.5045716571056702,2.8988209208144977,0.16276884077279236,1.0,8725.0,2869,205092.59914855752,215.09999999999206,0.5845142298747537
1,0,2.0273843949567496,4.519867458297608,3.6275784675027722,4.865943737663713,1.8702820030196512,3.114532102075774,0.09178014466690636,1.0,11625.0,6635,445676.204338822,483.20000000004137,0.4504082965312656
1,1,2.0273843949567496,4.519867458297608,3.6275784675027722,4.865943737663713,1.8702820030196512,3.114532102075774,0.09178014466690636,0.9106918238993711,2475.0,9732,606060.0,668.4000000000834,0.44966165093938626
1,2,2.0273843949567496,4.519867458297608,3.6275784675027722,4.865943737663713,1.8702820030196512,3.114532102075774,0.09178014466690636,0.9081761006289308,2525.0,8844,606060.0,688.600000000088,0.44826114150789986
2,0,2.3439991496945254,2.024466349915932,3.2723094193628155,4.855262049390843,1.8058457339221752,4.140513028390416,0.12282328189362315,0.8943396226415095,4600.0,9475,606060.0,672.9000000000844,0.4014017225105697
2,1,2.3439991496945254,2.024466349915932,3.2723094193628155,4.855262049390843,1.8058457339221752,4.140513028390416,0.12282328189362315,1.0,9400.0,4705,314902.3808004055,338.80000000000854,0.5264250347682338
2,2,2.3439991496945254,2.024466349915932,3.2723094193628155,4.855262049390843,1.8058457339221752,4.140513028390416,0.12282328189362315,1.0,10525.0,4342,287878.02603243804,306.6000000000012,0.518948953515299
3,0,3.390253360301577,5.5590451247849835,4.8571697964217755,4.993645232822361,0.8405175851788355,2.4742424083693875,0.1641798256965271,0.9949685534591195,3575.0,5604,606060.0,706.000000000092,0.5336689597972735
3,1,3.390253360301577,5.5590451247849835,4.8571697964217755,4.993645232822361,0.8405175851788355,2.4742424083693875,0.1641798256965271,1.0,8500.0,3813,390637.5726462989,432.2000000000298,0.5303538777914647
3,2,3.390253360301577,5.5590451247849835,4.8571697964217755,4.993645232822361,0.8405175851788355,2.4742424083693875,0.1641798256965271,0.7937106918238994,1825.0,6826,606060.0,689.8000000000883,0.34710462135249787
4,0,1.752274937986612,4.051057130711389,3.25004822449118,3.6531352717691687,0.8607437147581242,3.8038815173101503,0.13331248432419834,0.9962264150943396,4900.0,5469,606060.0,701.900000000091,0.5157689158904227
4,1,1.752274937986612,4.051057130711389,3.25004822449118,3.6531352717691687,0.8607437147581242,3.8038815173101503,0.13331248432419834,1.0,5425.0,1950,201393.98305988428,215.09999999999206,0.6569995061539228
4,2,1.752274937986612,4.051057130711389,3.25004822449118,3.6531352717691687,0.8607437147581242,3.8038815173101503,0.13331248432419834,1.0,6800.0,1756,182478.89756957022,193.5999999999933,0.6473603910964263
5,0,1.7383410486437174,4.04855051613463,3.761379372882869,2.911895331717165,1.3014036021837538,3.6582440065844515,0.0639970763235282,1.0,6250.0,2584,203879.63971673604,212.4999999999922,0.6276520273602977
5,1,1.7383410486437174,4.04855051613463,3.761379372882869,2.911895331717165,1.3014036021837538,3.6582440065844515,0.0639970763235282,0.9031446540880503,3325.0,8442,606060.0,671.3000000000841,0.43202681424111755
5,2,1.7383410486437174,4.04855051613463,3.761379372882869,2.911895331717165,1.3014036021837538,3.6582440065844515,0.0639970763235282,0.9949685534591195,7925.0,8003,606060.0,675.8000000000851,0.4578857749876154
6,0,2.6759928011786362,2.4443351694343485,3.951298579730701,2.2486145478715915,1.4469485811863745,5.403075931716628,0.09331943904674372,1.0,5125.0,1779,152548.6922296835,157.59999999999533,0.678941377419089
6,1,2.6759928011786362,2.4443351694343485,3.951298579730701,2.2486145478715915,1.4469485811863745,5.403075931716628,0.09331943904674372,1.0,6925.0,2922,227126.99726780318,238.9999999999907,0.6055043585428044
6,2,2.6759928011786362,2.4443351694343485,3.951298579730701,2.2486145478715915,1.4469485811863745,5.403075931716628,0.09331943904674372,0.9974842767295597,7275.0,7241,606060.0,682.2000000000866,0.47284016201583523
