policy,map_label,n_drones,seed,final_coverage,time_to_50,time_to_80,time_to_100,total_energy_j,overlap_m2,wasted_visits,time_to_terminal,reason
MARL,open_33,20,0,1.0,14.099999999999966,33.2000000000002,189.5999999999935,699917.0181398834,23800.0,9157,189.5999999999935,COMPLETED
MARL,open_33,20,1,1.0,14.499999999999964,36.300000000000246,136.09999999999656,501961.816004226,23725.0,6377,136.09999999999656,COMPLETED
MARL,open_33,20,2,1.0,14.899999999999963,40.500000000000306,165.3999999999949,613131.8292978532,23775.0,7941,165.3999999999949,COMPLETED
Random,partial_33,2,0,0.8842767295597485,239.69999999999067,520.0000000000497,inf,242424.00000000003,5900.0,1884,675.500000000085,ALL_DEPLETED
Random,partial_33,2,1,0.7949685534591195,360.6000000000135,inf,inf,242424.00000000003,7075.0,1965,674.9000000000849,ALL_DEPLETED
Random,partial_33,2,2,0.7937106918238994,320.80000000000445,inf,inf,242424.00000000003,7400.0,1985,673.7000000000846,ALL_DEPLETED
PF,partial_33,2,0,0.9207547169811321,125.49999999999714,288.5999999999971,inf,242424.00000000003,4275.0,3176,646.5000000000784,ALL_DEPLETED
PF,partial_33,2,1,0.8402515723270441,154.99999999999548,307.10000000000133,inf,242424.00000000003,225.0,3432,651.1000000000795,ALL_DEPLETED
PF,partial_33,2,2,0.6050314465408805,373.4000000000164,inf,inf,242424.00000000003,550.0,4358,643.3000000000777,ALL_DEPLETED
Consensus,partial_33,2,0,0.9471698113207547,125.49999999999714,288.69999999999715,inf,242424.00000000003,275.0,3313,641.7000000000774,ALL_DEPLETED
Consensus,partial_33,2,1,0.8402515723270441,154.99999999999548,307.10000000000133,inf,242424.00000000003,225.0,3432,651.1000000000795,ALL_DEPLETED
Consensus,partial_33,2,2,0.7987421383647799,373.4000000000164,inf,inf,242424.00000000003,2950.0,4244,628.3000000000743,ALL_DEPLETED
MARL,partial_33,2,0,0.9283018867924528,136.19999999999655,479.20000000004046,inf,242424.00000000003,4325.0,2147,659.2000000000813,ALL_DEPLETED
MARL,partial_33,2,1,0.9056603773584906,103.79999999999838,315.8000000000033,inf,242424.00000000003,3250.0,2002,652.5000000000798,ALL_DEPLETED
MARL,partial_33,2,2,0.8767295597484277,109.69999999999804,350.70000000001124,inf,242424.00000000003,9175.0,2216,650.2000000000793,ALL_DEPLETED
Random,partial_33,5,0,0.9924528301886792,82.59999999999958,157.89999999999532,inf,606060.0,17350.0,5656,676.4000000000852,ALL_DEPLETED
Random,partial_33,5,1,0.9823899371069182,79.49999999999976,203.29999999999274,inf,606060.0,17850.0,5808,678.0000000000856,ALL_DEPLETED
Random,partial_33,5,2,0.9723270440251572,83.9999999999995,198.699999999993,inf,606060.0,17500.0,5609,683.1000000000868,ALL_DEPLETED
PF,partial_33,5,0,1.0,55.300000000000516,102.49999999999845,177.2999999999942,170693.05707990332,5225.0,2093,177.2999999999942,COMPLETED
PF,partial_33,5,1,1.0,47.400000000000404,132.89999999999674,208.29999999999245,201803.3923906535,10525.0,2826,208.29999999999245,COMPLETED
PF,partial_33,5,2,0.9962264150943396,44.30000000000036,101.39999999999851,inf,606060.0,8400.0,8737,675.100000000085,ALL_DEPLETED
Consensus,partial_33,5,0,0.9974842767295597,54.4000000000005,98.39999999999868,inf,606060.0,7475.0,8792,668.6000000000835,ALL_DEPLETED
Consensus,partial_33,5,1,0.9937106918238994,45.70000000000038,259.59999999999053,inf,606060.0,6650.0,9211,666.9000000000831,ALL_DEPLETED
Consensus,partial_33,5,2,0.9735849056603774,44.30000000000036,165.2999999999949,inf,606060.0,4575.0,8867,671.100000000084,ALL_DEPLETED
MARL,partial_33,5,0,0.9622641509433962,55.00000000000051,138.7999999999964,inf,606060.0,13600.0,5594,687.5000000000878,ALL_DEPLETED
MARL,partial_33,5,1,0.9647798742138365,48.200000000000415,144.0999999999961,inf,606060.0,12900.0,5586,675.400000000085,ALL_DEPLETED
