trial,seed,attract_gain,drone_repel_gain,drone_repel_range,wall_repel_gain,wall_repel_range,yaw_align_gain,velocity_align_threshold,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0,0,3.1636373796570645,5.547102057148602,4.335410223583498,3.6381561307671375,0.7354433697191238,11.756223516367559,0.15461654337816708,0.6113207547169811,1725.0,5102,606060.0,730.7000000000976,0.1669301993340027
0,1,3.1636373796570645,5.547102057148602,4.335410223583498,3.6381561307671375,0.7354433697191238,11.756223516367559,0.15461654337816708,0.30566037735849055,375.0,8633,606060.0,731.4000000000977,-0.13623128536377752
0,2,3.1636373796570645,5.547102057148602,4.335410223583498,3.6381561307671375,0.7354433697191238,11.756223516367559,0.15461654337816708,0.40628930817610065,275.0,7765,606060.0,733.3000000000982,-0.030325367498398065
1,0,3.208437929524729,1.9733067757687777,2.4168139081091655,2.1685911090466155,2.8169124721215044,8.438651200806646,0.1663247065214577,1.0,7450.0,2371,175991.72802300192,185.49999999999375,0.6209340814559299
1,1,3.208437929524729,1.9733067757687777,2.4168139081091655,2.1685911090466155,2.8169124721215044,8.438651200806646,0.1663247065214577,0.9610062893081761,5200.0,9164,606060.0,687.4000000000877,0.46115749961568153
1,2,3.208437929524729,1.9733067757687777,2.4168139081091655,2.1685911090466155,2.8169124721215044,8.438651200806646,0.1663247065214577,1.0,9350.0,3231,226721.1282815379,237.69999999999078,0.5640726086400937
2,0,1.9406325356611251,3.1132453005249343,2.9065484989744235,0.787177652468789,2.569077929981455,8.316643991220648,0.15403667061622103,0.9823899371069182,5075.0,5320,606060.0,711.5000000000932,0.49974525948078063
2,1,1.9406325356611251,3.1132453005249343,2.9065484989744235,0.787177652468789,2.569077929981455,8.316643991220648,0.15403667061622103,1.0,5575.0,2338,208943.4616408595,220.09999999999178,0.642175934808045
2,2,1.9406325356611251,3.1132453005249343,2.9065484989744235,0.787177652468789,2.569077929981455,8.316643991220648,0.15403667061622103,0.9572327044025157,4750.0,6564,606060.0,692.4000000000889,0.4722573822454047
3,0,1.611746082080513,11.663027280541387,4.497669270214329,4.002725736831929,0.9865967696299189,6.667210037270342,0.01832271549957347,1.0,8250.0,2124,191994.14812306815,201.89999999999281,0.6114191107723442
3,1,1.611746082080513,11.663027280541387,4.497669270214329,4.002725736831929,0.9865967696299189,6.667210037270342,0.01832271549957347,1.0,12025.0,3858,341306.4071847514,369.60000000001554,0.488403044365508
3,2,1.611746082080513,11.663027280541387,4.497669270214329,4.002725736831929,0.9865967696299189,6.667210037270342,0.01832271549957347,0.9861635220125786,7750.0,6843,606060.0,680.2000000000861,0.4555757585253096
4,0,0.870871120649927,8.355062962288228,3.8003821327667406,4.853793795953945,1.31456339534538,5.704597060348689,0.0992156041424035,1.0,14350.0,4851,358416.0756245132,385.3000000000191,0.44021593839906176
4,1,0.870871120649927,8.355062962288228,3.8003821327667406,4.853793795953945,1.31456339534538,5.704597060348689,0.0992156041424035,1.0,12150.0,4095,301677.680256161,320.80000000000445,0.49347686069223756
4,2,0.870871120649927,8.355062962288228,3.8003821327667406,4.853793795953945,1.31456339534538,5.704597060348689,0.0992156041424035,1.0,14825.0,4805,356410.5444142267,381.60000000001827,0.43387110277863666
5,0,1.0010440286118572,1.994097311357924,2.5358131532618886,1.5210920707289786,2.1745349867062758,6.371519188723307,0.1682088572509891,0.9937106918238994,9250.0,9181,606060.0,683.4000000000868,0.43341253576672145
5,1,1.0010440286118572,1.994097311357924,2.5358131532618886,1.5210920707289786,2.1745349867062758,6.371519188723307,0.1682088572509891,1.0,10000.0,7452,481411.74703279,521.20000000005,0.4632396297907209
5,2,1.0010440286118572,1.994097311357924,2.5358131532618886,1.5210920707289786,2.1745349867062758,6.371519188723307,0.1682088572509891,1.0,15675.0,6388,429597.7727457305,468.10000000003794,0.39421205176582635
6,0,2.890980877408322,4.092216375893472,4.211621066557445,4.121439608735608,1.4686959475754362,4.883281039302441,0.13967414575524534,1.0,11100.0,3071,218377.90218839864,226.9999999999914,0.542097715764747
6,1,2.890980877408322,4.092216375893472,4.211621066557445,4.121439608735608,1.4686959475754362,4.883281039302441,0.13967414575524534,1.0,5275.0,3263,232966.03730209102,245.39999999999034,0.6236265252233126
6,2,2.890980877408322,4.092216375893472,4.211621066557445,4.121439608735608,1.4686959475754362,4.883281039302441,0.13967414575524534,0.9987421383647799,8875.0,8955,606060.0,674.2000000000847,0.44476870497710563
7,0,0.8170841893544463,2.7989443284637456,0.3346026678297259,4.041159698759623,2.1621271414800805,9.051653786263351,0.15833851589417391,0.9584905660377359,3500.0,9389,606060.0,674.8000000000849,0.483735881687566
7,1,0.8170841893544463,2.7989443284637456,0.3346026678297259,4.041159698759623,2.1621271414800805,9.051653786263351,0.15833851589417391,0.9433962264150944,4850.0,9574,606060.0,677.2000000000854,0.44753811314256664
