trial,seed,attract_gain,drone_repel_gain,drone_repel_range,wall_repel_gain,wall_repel_range,yaw_align_gain,velocity_align_threshold,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0,0,3.1636373796570645,5.547102057148602,4.335410223583498,3.6381561307671375,0.7354433697191238,11.756223516367559,0.15461654337816708,0.5547169811320755,1200.0,6916,606060.0,730.7000000000976,0.11014220259431465
0,1,3.1636373796570645,5.547102057148602,4.335410223583498,3.6381561307671375,0.7354433697191238,11.756223516367559,0.15461654337816708,0.7358490566037735,1875.0,7262,606060.0,731.4000000000977,0.2854679604885788
0,2,3.1636373796570645,5.547102057148602,4.335410223583498,3.6381561307671375,0.7354433697191238,11.756223516367559,0.15461654337816708,0.40628930817610065,275.0,7765,606060.0,733.3000000000982,-0.030325367498398065
1,0,3.208437929524729,1.9733067757687777,2.4168139081091655,2.1685911090466155,2.8169124721215044,8.438651200806646,0.1663247065214577,1.0,10425.0,3004,205962.2238918785,214.79999999999208,0.5563334758482108
1,1,3.208437929524729,1.9733067757687777,2.4168139081091655,2.1685911090466155,2.8169124721215044,8.438651200806646,0.1663247065214577,0.989937106918239,8200.0,9572,606060.0,667.0000000000831,0.4445108528360172
1,2,3.208437929524729,1.9733067757687777,2.4168139081091655,2.1685911090466155,2.8169124721215044,8.438651200806646,0.1663247065214577,0.9446540880503145,6325.0,9514,606060.0,664.0000000000824,0.42668631373426014
2,0,1.9406325356611251,3.1132453005249343,2.9065484989744235,0.787177652468789,2.569077929981455,8.316643991220648,0.15403667061622103,1.0,7500.0,2317,230686.75156920578,248.49999999999017,0.6084508728731837
2,1,1.9406325356611251,3.1132453005249343,2.9065484989744235,0.787177652468789,2.569077929981455,8.316643991220648,0.15403667061622103,0.9358490566037736,5100.0,4693,606060.0,714.5000000000939,0.4554755308471461
2,2,1.9406325356611251,3.1132453005249343,2.9065484989744235,0.787177652468789,2.569077929981455,8.316643991220648,0.15403667061622103,1.0,4950.0,1409,136885.0116480221,141.19999999999627,0.7008710663320077
3,0,1.611746082080513,11.663027280541387,4.497669270214329,4.002725736831929,0.9865967696299189,6.667210037270342,0.01832271549957347,0.9974842767295597,8875.0,7081,606060.0,674.9000000000849,0.4492909285608927
3,1,1.611746082080513,11.663027280541387,4.497669270214329,4.002725736831929,0.9865967696299189,6.667210037270342,0.01832271549957347,0.9949685534591195,8350.0,6504,606060.0,680.3000000000861,0.4570155027063997
3,2,1.611746082080513,11.663027280541387,4.497669270214329,4.002725736831929,0.9865967696299189,6.667210037270342,0.01832271549957347,0.9849056603773585,9675.0,6629,606060.0,679.4000000000859,0.42611533113620503
4,0,0.870871120649927,8.355062962288228,3.8003821327667406,4.853793795953945,1.31456339534538,5.704597060348689,0.0992156041424035,0.9924528301886792,9625.0,8542,606060.0,669.9000000000838,0.428092422926037
4,1,0.870871120649927,8.355062962288228,3.8003821327667406,4.853793795953945,1.31456339534538,5.704597060348689,0.0992156041424035,1.0,8450.0,4676,348755.8465747874,374.6000000000167,0.5329260965976903
4,2,0.870871120649927,8.355062962288228,3.8003821327667406,4.853793795953945,1.31456339534538,5.704597060348689,0.0992156041424035,0.9974842767295597,14875.0,8700,606060.0,671.4000000000841,0.35357210134533645
5,0,1.0010440286118572,1.994097311357924,2.5358131532618886,1.5210920707289786,2.1745349867062758,6.371519188723307,0.1682088572509891,0.979874213836478,8000.0,9788,606060.0,663.6000000000823,0.43679107398750794
5,1,1.0010440286118572,1.994097311357924,2.5358131532618886,1.5210920707289786,2.1745349867062758,6.371519188723307,0.1682088572509891,0.9748427672955975,6800.0,9557,606060.0,693.2000000000891,0.4502597170176553
5,2,1.0010440286118572,1.994097311357924,2.5358131532618886,1.5210920707289786,2.1745349867062758,6.371519188723307,0.1682088572509891,1.0,12000.0,3546,243064.84837969893,257.7999999999901,0.5158786688419998
6,0,2.890980877408322,4.092216375893472,4.211621066557445,4.121439608735608,1.4686959475754362,4.883281039302441,0.13967414575524534,0.9974842767295597,6575.0,9558,606060.0,662.300000000082,0.4767778359052194
6,1,2.890980877408322,4.092216375893472,4.211621066557445,4.121439608735608,1.4686959475754362,4.883281039302441,0.13967414575524534,0.9786163522012579,5450.0,9062,606060.0,664.7000000000826,0.47562726900853913
6,2,2.890980877408322,4.092216375893472,4.211621066557445,4.121439608735608,1.4686959475754362,4.883281039302441,0.13967414575524534,0.9937106918238994,7550.0,9101,606060.0,670.2000000000838,0.4592651600559303
7,0,0.8170841893544463,2.7989443284637456,0.3346026678297259,4.041159698759623,2.1621271414800805,9.051653786263351,0.15833851589417391,0.8704402515723271,4150.0,9518,606060.0,691.9000000000888,0.3836873045499438
7,1,0.8170841893544463,2.7989443284637456,0.3346026678297259,4.041159698759623,2.1621271414800805,9.051653786263351,0.15833851589417391,0.8742138364779874,6650.0,9034,606060.0,683.3000000000868,0.3508228075176917
7,2,0.8170841893544463,2.7989443284637456,0.3346026678297259,4.041159698759623,2.1621271414800805,9.051653786263351,0.15833851589417391,0.9006289308176101,8000.0,9305,606060.0,667.6000000000832,0.3568647559203241
8,0,1.9979883694918579,7.040523753458278,0.9570458911999901,1.0153853309118805,2.171007404476179,6.710962061431325,0.11739486023142588,1.0,11375.0,3054,236691.85361073958,249.09999999999013,0.5338544184685117
8,1,1.9979883694918579,7.040523753458278,0.9570458911999901,1.0153853309118805,2.171007404476179,6.710962061431325,0.11739486023142588,1.0,5400.0,2628,234746.7433501857,251.79999999998998,0.632218259307868
8,2,1.9979883694918579,7.040523753458278,0.9570458911999901,1.0153853309118805,2.171007404476179,6.710962061431325,0.11739486023142588,0.9949685534591195,9575.0,6723,606060.0,700.8000000000908,0.43757685583695893
9,0,3.1304957724392946,7.799260680006794,2.9018231830925805,3.016432223354361,1.2598752451565305,2.3081783456793943,0.09297630395414885,0.9610062893081761,3875.0,7356,606060.0,677.3000000000854,0.4862978798112175
9,1,3.1304957724392946,7.799260680006794,2.9018231830925805,3.016432223354361,1.2598752451565305,2.3081783456793943,0.09297630395414885,1.0,7375.0,2989,237759.37192745402,248.69999999999015,0.5950417462004843
9,2,3.1304957724392946,7.799260680006794,2.9018231830925805,3.016432223354361,1.2598752451565305,2.3081783456793943,0.09297630395414885,1.0,5800.0,4893,327435.76704682095,337.50000000000824,0.5763442740837532
