trial,seed,attract_gain,drone_repel_gain,drone_repel_range,wall_repel_gain,wall_repel_range,yaw_align_gain,velocity_align_threshold,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0,0,2.804598525401821,2.2626519418339797,2.550073967185542,4.51763774753309,1.5045716571056702,2.8988209208144977,0.16276884077279236,1.0,9300.0,3672,243385.59897764714,253.89999999998986,0.5550072203577318
0,1,2.804598525401821,2.2626519418339797,2.550073967185542,4.51763774753309,1.5045716571056702,2.8988209208144977,0.16276884077279236,0.9937106918238994,5750.0,9495,606060.0,670.900000000084,0.4855170614428005
0,2,2.804598525401821,2.2626519418339797,2.550073967185542,4.51763774753309,1.5045716571056702,2.8988209208144977,0.16276884077279236,1.0,9550.0,2484,189786.49124001514,197.89999999999304,0.5833521544113497
1,0,2.0273843949567496,4.519867458297608,3.6275784675027722,4.865943737663713,1.8702820030196512,3.114532102075774,0.09178014466690636,0.9635220125786164,5975.0,9180,606060.0,674.9000000000849,0.45199365462385765
1,1,2.0273843949567496,4.519867458297608,3.6275784675027722,4.865943737663713,1.8702820030196512,3.114532102075774,0.09178014466690636,0.8150943396226416,1825.0,9239,606060.0,677.6000000000855,0.3627649080309807
1,2,2.0273843949567496,4.519867458297608,3.6275784675027722,4.865943737663713,1.8702820030196512,3.114532102075774,0.09178014466690636,0.9044025157232705,4825.0,8753,606060.0,683.7000000000869,0.4099002643563374
2,0,2.3439991496945254,2.024466349915932,3.2723094193628155,4.855262049390843,1.8058457339221752,4.140513028390416,0.12282328189362315,0.9861635220125786,9100.0,9990,606060.0,674.3000000000848,0.4261909192835146
2,1,2.3439991496945254,2.024466349915932,3.2723094193628155,4.855262049390843,1.8058457339221752,4.140513028390416,0.12282328189362315,1.0,9150.0,8920,559253.3592945177,607.7000000000696,0.4531476073312275
2,2,2.3439991496945254,2.024466349915932,3.2723094193628155,4.855262049390843,1.8058457339221752,4.140513028390416,0.12282328189362315,0.9484276729559749,6350.0,9323,606060.0,678.2000000000857,0.430581328799689
3,0,3.390253360301577,5.5590451247849835,4.8571697964217755,4.993645232822361,0.8405175851788355,2.4742424083693875,0.1641798256965271,0.9283018867924528,3725.0,6074,606060.0,696.6000000000898,0.46013249525132005
3,1,3.390253360301577,5.5590451247849835,4.8571697964217755,4.993645232822361,0.8405175851788355,2.4742424083693875,0.1641798256965271,0.7396226415094339,4825.0,5065,606060.0,706.9000000000922,0.2535526784724238
3,2,3.390253360301577,5.5590451247849835,4.8571697964217755,4.993645232822361,0.8405175851788355,2.4742424083693875,0.1641798256965271,0.9685534591194969,5975.0,6146,606060.0,718.7000000000949,0.46732114514636847
4,0,1.752274937986612,4.051057130711389,3.25004822449118,3.6531352717691687,0.8607437147581242,3.8038815173101503,0.13331248432419834,0.9823899371069182,5475.0,5449,606060.0,692.700000000089,0.49291232993798173
4,1,1.752274937986612,4.051057130711389,3.25004822449118,3.6531352717691687,0.8607437147581242,3.8038815173101503,0.13331248432419834,1.0,4175.0,1810,196898.70142010634,211.59999999999226,0.6816082638046438
4,2,1.752274937986612,4.051057130711389,3.25004822449118,3.6531352717691687,0.8607437147581242,3.8038815173101503,0.13331248432419834,0.9987421383647799,8475.0,5320,606060.0,695.7000000000896,0.465332930093424
5,0,1.7383410486437174,4.04855051613463,3.761379372882869,2.911895331717165,1.3014036021837538,3.6582440065844515,0.0639970763235282,1.0,7925.0,2413,191119.23005254148,198.19999999999303,0.6091726163115808
5,1,1.7383410486437174,4.04855051613463,3.761379372882869,2.911895331717165,1.3014036021837538,3.6582440065844515,0.0639970763235282,0.8930817610062893,4325.0,8877,606060.0,667.4000000000832,0.4055718840087216
5,2,1.7383410486437174,4.04855051613463,3.761379372882869,2.911895331717165,1.3014036021837538,3.6582440065844515,0.0639970763235282,1.0,8350.0,2955,222835.02509718935,232.1999999999911,0.5844531967270458
6,0,2.6759928011786362,2.4443351694343485,3.951298579730701,2.2486145478715915,1.4469485811863745,5.403075931716628,0.09331943904674372,1.0,9450.0,2180,173420.33776123007,177.99999999999417,0.5961946692946135
6,1,2.6759928011786362,2.4443351694343485,3.951298579730701,2.2486145478715915,1.4469485811863745,5.403075931716628,0.09331943904674372,1.0,5050.0,2568,196174.8443261633,204.39999999999267,0.6479373560661356
6,2,2.6759928011786362,2.4443351694343485,3.951298579730701,2.2486145478715915,1.4469485811863745,5.403075931716628,0.09331943904674372,0.9270440251572327,8875.0,7188,606060.0,698.5000000000903,0.37653637018960506
7,0,1.6654897133768645,3.9228805534187994,3.5612479837184834,3.836496820189391,0.9818381964796153,2.0158454548944755,0.1764623470140209,1.0,9375.0,3627,315122.909991995,335.9000000000079,0.5373210684843253
7,1,1.6654897133768645,3.9228805534187994,3.5612479837184834,3.836496820189391,0.9818381964796153,2.0158454548944755,0.1764623470140209,0.9836477987421384,4975.0,6446,606060.0,678.2000000000857,0.49656612590914195
7,2,1.6654897133768645,3.9228805534187994,3.5612479837184834,3.836496820189391,0.9818381964796153,2.0158454548944755,0.1764623470140209,0.969811320754717,8975.0,6215,606060.0,675.500000000085,0.42300425349050896
8,0,2.4101786359099915,5.441783652927274,4.503320407641129,4.289741113775515,1.8343208781798817,3.2878041466827272,0.07906918301590189,0.8503144654088051,5125.0,10017,606060.0,673.2000000000845,0.34747720887957234
8,1,2.4101786359099915,5.441783652927274,4.503320407641129,4.289741113775515,1.8343208781798817,3.2878041466827272,0.07906918301590189,0.9635220125786164,6525.0,9114,606060.0,673.3000000000845,0.443846111408177
8,2,2.4101786359099915,5.441783652927274,4.503320407641129,4.289741113775515,1.8343208781798817,3.2878041466827272,0.07906918301590189,1.0,7000.0,3479,217499.8883473489,224.69999999999152,0.5983046243214115
9,0,1.525407164429263,4.376342307233681,4.016262846385191,3.699552893703819,1.8545794630797676,5.311113292256765,0.12448029342436927,0.9974842767295597,10725.0,8878,606060.0,678.6000000000857,0.4157523573795915
9,1,1.525407164429263,4.376342307233681,4.016262846385191,3.699552893703819,1.8545794630797676,5.311113292256765,0.12448029342436927,0.9584905660377359,5750.0,8596,606060.0,690.4000000000884,0.4516819654076849
9,2,1.525407164429263,4.376342307233681,4.016262846385191,3.699552893703819,1.8545794630797676,5.311113292256765,0.12448029342436927,0.9748427672955975,6000.0,9435,606060.0,670.2000000000838,0.46260407747573495
10,0,1.7453820566511575,5.003459610890582,4.798715222749205,4.642567433237143,1.6088907119676765,4.635622959080129,0.17435481781684994,0.7283018867924528,450.0,9469,606060.0,679.4000000000859,0.2943520118108133
10,1,1.7453820566511575,5.003459610890582,4.798715222749205,4.642567433237143,1.6088907119676765,4.635622959080129,0.17435481781684994,0.9786163522012579,5325.0,9236,606060.0,676.6000000000853,0.4771019189486919
10,2,1.7453820566511575,5.003459610890582,4.798715222749205,4.642567433237143,1.6088907119676765,4.635622959080129,0.17435481781684994,0.9861635220125786,8125.0,9508,606060.0,671.5000000000841,0.4419302692612609
11,0,2.8740768213495516,5.7451571059595254,3.5044039751901703,3.1985202876922174,1.3836122455066093,5.526919595786529,0.14622902582281663,1.0,9600.0,3627,301536.6112502547,324.6000000000053,0.5371629131740835
11,1,2.8740768213495516,5.7451571059595254,3.5044039751901703,3.1985202876922174,1.3836122455066093,5.526919595786529,0.14622902582281663,0.9987421383647799,5600.0,7789,606060.0,682.1000000000865,0.49752192611253643
11,2,2.8740768213495516,5.7451571059595254,3.5044039751901703,3.1985202876922174,1.3836122455066093,5.526919595786529,0.14622902582281663,1.0,9150.0,3791,314061.4539041517,340.10000000000883,0.5390415099595485
12,0,3.1509298807707866,5.016085388354161,3.841163582282135,4.096378866496059,1.6334915337117748,2.8778938283246647,0.18904021038754829,1.0,11450.0,3272,225940.88946744183,237.2999999999908,0.5319632463504965
