inertia,cognitive,social,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,3.0,0.0,open_33,2,0,0.9125910509885536,6250.0,3833,242424.00000000003,592.000000000066,0.4459627746810685
0.5,3.0,0.0,open_33,2,1,0.9698231009365245,7750.0,3691,242424.00000000003,593.1000000000663,0.4890846706010582
0.5,3.0,0.0,open_33,5,0,1.0,17600.0,4893,301044.015836493,293.6999999999983,0.4577284098545301
0.5,3.0,0.0,open_33,5,1,1.0,16200.0,6460,382555.29078968905,372.9000000000163,0.44538416088463995
0.5,3.0,0.0,open_33,10,0,1.0,18975.0,4988,307878.53819004307,150.09999999999576,0.4748323437663719
0.5,3.0,0.0,open_33,10,1,1.0,18075.0,7533,433841.861500259,211.29999999999228,0.45653967230415776
0.5,3.0,0.0,open_33,20,0,1.0,19175.0,4704,290004.3652955834,70.90000000000025,0.4941739092856728
0.5,3.0,0.0,open_33,20,1,1.0,18975.0,3401,225724.4073606059,55.300000000000516,0.5157034222363919
0.5,3.0,0.0,partial_33,2,0,1.0,2725.0,2023,174047.2743994887,442.60000000003214,0.6397991457099081
0.5,3.0,0.0,partial_33,2,1,0.7295597484276729,2150.0,2600,242424.00000000003,681.6000000000864,0.30737945492662466
0.5,3.0,0.0,partial_33,5,0,1.0,11325.0,1875,161818.72470909683,161.99999999999508,0.5798156118477115
0.5,3.0,0.0,partial_33,5,1,1.0,10750.0,4204,416003.6352584383,447.6000000000333,0.4862977587474255
0.5,3.0,0.0,partial_33,10,0,1.0,14075.0,4000,403680.8101285263,217.7999999999919,0.4891811369487676
0.5,3.0,0.0,partial_33,10,1,0.9962264150943396,10925.0,8828,1212120.0,710.700000000093,0.4115748549710815
0.5,3.0,0.0,partial_33,20,0,1.0,14300.0,2420,203301.4301607716,51.700000000000465,0.5462210691769193
0.5,3.0,0.0,partial_33,20,1,0.9987421383647799,15125.0,21825,2424240.0,726.9000000000967,0.3365267766667658
0.5,3.0,0.0,closed_33,2,0,0.8096885813148789,350.0,1307,242424.00000000003,693.000000000089,0.43707629243357105
0.5,3.0,0.0,closed_33,2,1,0.35294117647058826,200.0,891,242424.00000000003,722.1000000000956,-0.03976510614990017
0.5,3.0,0.0,closed_33,5,0,0.8875432525951558,1950.0,3754,606060.0,731.2000000000977,0.4386818738119419
0.5,3.0,0.0,closed_33,5,1,0.7352941176470589,900.0,2140,606060.0,734.7000000000985,0.3218721544345293
0.5,3.0,0.0,closed_33,10,0,0.986159169550173,6625.0,3710,1212120.0,722.8000000000958,0.4441247435386103
0.5,3.0,0.0,closed_33,10,1,0.9186851211072664,5850.0,6855,1212120.0,732.0000000000979,0.37435522049727166
0.5,3.0,0.0,closed_33,20,0,1.0,10550.0,2230,267182.2778171124,72.80000000000014,0.5268013682440618
0.5,3.0,0.0,closed_33,20,1,1.0,9325.0,1472,169791.18763524387,45.300000000000374,0.5808700148900352
0.5,3.0,0.25,open_33,2,0,1.0,11150.0,2864,197387.71517781707,487.00000000004223,0.5185322823333424
0.5,3.0,0.25,open_33,2,1,0.9458896982310093,11450.0,3813,242424.00000000003,592.6000000000662,0.4162201401752933
0.5,3.0,0.25,open_33,5,0,1.0,19475.0,4809,293571.0859837176,288.8999999999972,0.436813309351748
0.5,3.0,0.25,open_33,5,1,1.0,19575.0,3384,224666.38245556923,219.7999999999918,0.4683737051055038
0.5,3.0,0.25,open_33,10,0,1.0,19925.0,3541,235651.8081078811,115.5999999999977,0.4871530068293327
0.5,3.0,0.25,open_33,10,1,1.0,19025.0,3012,206596.6423030547,101.79999999999849,0.5103803182366349
0.5,3.0,0.25,open_33,20,0,1.0,20600.0,3758,243134.09282281436,59.70000000000058,0.48937464787045865
0.5,3.0,0.25,open_33,20,1,1.0,21925.0,3710,239745.9465039922,59.30000000000057,0.4736590666037795
0.5,3.0,0.25,partial_33,2,0,0.8616352201257862,8275.0,2528,242424.00000000003,659.0000000000813,0.35624403220407663
0.5,3.0,0.25,partial_33,2,1,0.9849056603773585,3025.0,2779,242424.00000000003,622.2000000000729,0.560746936272346
0.5,3.0,0.25,partial_33,5,0,0.9987421383647799,14750.0,6987,606060.0,636.000000000076,0.362269216230365
0.5,3.0,0.25,partial_33,5,1,1.0,10825.0,3709,277482.64746881893,283.0999999999959,0.5234232738663149
0.5,3.0,0.25,partial_33,10,0,1.0,14125.0,3264,250281.89830025705,125.89999999999712,0.5157254783133279
0.5,3.0,0.25,partial_33,10,1,0.9974842767295597,13450.0,8656,1212120.0,713.7000000000937,0.3751982317962944
0.5,3.0,0.25,partial_33,20,0,1.0,16125.0,2767,219797.1053806562,55.60000000000052,0.5104642821549262
0.5,3.0,0.25,partial_33,20,1,1.0,16425.0,7499,770315.3977090023,210.09999999999235,0.4349331937182025
0.5,3.0,0.25,closed_33,2,0,0.1453287197231834,0.0,856,242424.00000000003,724.9000000000963,-0.2723072140829632
0.5,3.0,0.25,closed_33,2,1,0.4930795847750865,1875.0,2033,242424.00000000003,671.2000000000841,0.046593050592143
0.5,3.0,0.25,closed_33,5,0,0.527681660899654,2975.0,1814,606060.0,732.400000000098,0.06465325620758991
0.5,3.0,0.25,closed_33,5,1,0.7335640138408305,3100.0,2994,606060.0,726.8000000000967,0.2619744532698749
0.5,3.0,0.25,closed_33,10,0,0.9896193771626297,8575.0,3471,1212120.0,730.3000000000975,0.4095909809608226
0.5,3.0,0.25,closed_33,10,1,1.0,9750.0,2706,323709.90654955734,177.6999999999942,0.5118038471974783
0.5,3.0,0.25,closed_33,20,0,0.9826989619377162,11125.0,13082,2424240.0,731.6000000000978,0.3197691758453003
0.5,3.0,0.25,closed_33,20,1,1.0,9550.0,1794,219093.90758316545,59.500000000000576,0.5617786122041291
0.5,3.0,0.5,open_33,2,0,0.9989594172736732,11750.0,3762,242424.00000000003,606.7000000000694,0.46878391388094454
0.5,3.0,0.5,open_33,2,1,1.0,13100.0,2100,163458.77344143626,401.70000000002284,0.5332110190781357
0.5,3.0,0.5,open_33,5,0,0.9136316337148803,16725.0,10813,606060.0,612.5000000000707,0.2828723874951703
0.5,3.0,0.5,open_33,5,1,1.0,17400.0,3217,213570.53338203102,211.1999999999923,0.500829607000705
0.5,3.0,0.5,open_33,10,0,1.0,21225.0,4933,301612.99063607515,148.29999999999586,0.4479354789278959
0.5,3.0,0.5,open_33,10,1,1.0,20550.0,3593,236484.156669077,116.69999999999764,0.4785182257092371
0.5,3.0,0.5,open_33,20,0,1.0,22300.0,5405,328797.2815455296,81.29999999999966,0.4472366694746698
0.5,3.0,0.5,open_33,20,1,1.0,22475.0,5359,327920.44219767675,81.29999999999966,0.4454333147643816
0.5,3.0,0.5,partial_33,2,0,0.9761006289308176,9250.0,2689,242424.00000000003,634.7000000000758,0.4592196901630864
0.5,3.0,0.5,partial_33,2,1,0.7446540880503144,4750.0,2779,242424.00000000003,653.8000000000801,0.2811961937029802
0.5,3.0,0.5,partial_33,5,0,1.0,9500.0,2103,173547.79849437403,175.39999999999432,0.5975396435607759
0.5,3.0,0.5,partial_33,5,1,1.0,12975.0,7926,520049.5418621652,536.2000000000534,0.40755345985822916
0.5,3.0,0.5,partial_33,10,0,0.9584905660377359,14175.0,15613,1212120.0,678.4000000000857,0.31404416278585956
0.5,3.0,0.5,partial_33,10,1,1.0,17050.0,7180,500840.3744930234,257.19999999999,0.41286392790285864
0.5,3.0,0.5,partial_33,20,0,1.0,18050.0,4989,377499.3221517522,95.39999999999885,0.4462889192077799
0.5,3.0,0.5,partial_33,20,1,1.0,15500.0,4147,363533.12887288677,94.99999999999888,0.492637012433727
0.5,3.0,0.5,closed_33,2,0,0.5536332179930796,625.0,1077,242424.00000000003,710.500000000093,0.1649316778938336
0.5,3.0,0.5,closed_33,2,1,0.596885813148789,1900.0,888,242424.00000000003,707.0000000000922,0.19693660776175362
0.5,3.0,0.5,closed_33,5,0,0.6401384083044983,5300.0,1886,606060.0,718.2000000000947,0.13486148944350376
0.5,3.0,0.5,closed_33,5,1,0.6211072664359861,4025.0,2759,606060.0,729.6000000000973,0.12764018082550274
0.5,3.0,0.5,closed_33,10,0,0.6782006920415224,6550.0,7415,1212120.0,733.3000000000982,0.11283349306439219
0.5,3.0,0.5,closed_33,10,1,0.8927335640138409,8175.0,7280,1212120.0,731.8000000000978,0.298422272761256
0.5,3.0,0.5,closed_33,20,0,0.9584775086505191,11375.0,12544,2424240.0,726.9000000000967,0.2905628548024889
0.5,3.0,0.5,closed_33,20,1,1.0,12600.0,7841,1075209.442550208,301.50000000000006,0.39493994815592226
0.5,5.0,0.0,open_33,2,0,0.8730489073881373,2025.0,3958,242424.00000000003,592.3000000000661,0.4557885966276616
0.5,5.0,0.0,open_33,2,1,0.7513007284079084,3000.0,4047,242424.00000000003,593.1000000000663,0.31481363250892835
0.5,5.0,0.0,open_33,5,0,0.963579604578564,10475.0,11236,606060.0,591.2000000000659,0.4111755493233531
0.5,5.0,0.0,open_33,5,1,0.959417273673257,10375.0,11206,606060.0,592.000000000066,0.4082270080333231
0.5,5.0,0.0,open_33,10,0,1.0,16950.0,22276,1163123.7859731617,566.5000000000603,0.36214668757648705
0.5,5.0,0.0,open_33,10,1,1.0,17700.0,6725,387933.32653755206,189.49999999999352,0.47026121928860176
0.5,5.0,0.0,open_33,20,0,1.0,19350.0,5118,307356.5222108299,75.10000000000001,0.4874889099335592
0.5,5.0,0.0,open_33,20,1,1.0,19200.0,5480,325152.91123758536,79.39999999999976,0.4856361566005639
0.5,5.0,0.0,partial_33,2,0,0.5660377358490566,725.0,2419,242424.00000000003,721.5000000000955,0.15770461807816225
0.5,5.0,0.0,partial_33,2,1,0.6339622641509434,1250.0,3506,242424.00000000003,632.4000000000752,0.20835563083904493
0.5,5.0,0.0,partial_33,5,0,1.0,7150.0,2090,188945.29659133893,192.09999999999337,0.6297124417815073
0.5,5.0,0.0,partial_33,5,1,0.9987421383647799,6525.0,7057,606060.0,662.7000000000821,0.48614721194832355
0.5,5.0,0.0,partial_33,10,0,1.0,9975.0,4023,329769.0594760785,170.5999999999946,0.5596383113740847
0.5,5.0,0.0,partial_33,10,1,1.0,12300.0,11476,1083662.7416469504,578.600000000063,0.40463908557202577
0.5,5.0,0.0,partial_33,20,0,1.0,10475.0,2079,182098.63242447004,46.20000000000039,0.6140221243087788
0.5,5.0,0.0,partial_33,20,1,1.0,12600.0,8048,752443.0844800691,200.5999999999929,0.4919486939341486
0.5,5.0,0.0,closed_33,2,0,0.4411764705882353,0.0,946,242424.00000000003,710.500000000093,0.06042894537776253
0.5,5.0,0.0,closed_33,2,1,0.5553633217993079,0.0,1696,242424.00000000003,677.2000000000854,0.1586630518714723
0.5,5.0,0.0,closed_33,5,0,0.8062283737024222,1850.0,2962,606060.0,732.700000000098,0.36415742172586885
0.5,5.0,0.0,closed_33,5,1,0.773356401384083,1500.0,1560,606060.0,730.1000000000975,0.3645862319252856
0.5,5.0,0.0,closed_33,10,0,0.9844290657439446,6100.0,7679,1212120.0,734.5000000000985,0.4340369489687431
0.5,5.0,0.0,closed_33,10,1,1.0,7775.0,1586,240465.16084247595,133.19999999999672,0.5900552445748549
0.5,5.0,0.0,closed_33,20,0,1.0,8050.0,1370,154849.91954686353,41.100000000000314,0.6126598624354873
0.5,5.0,0.0,closed_33,20,1,0.9896193771626297,7700.0,5627,2424240.0,732.9000000000981,0.4129952251975504
0.5,5.0,0.25,open_33,2,0,0.9958376690946931,10000.0,3875,242424.00000000003,596.000000000067,0.4859396882195163
0.5,5.0,0.25,open_33,2,1,0.951092611862643,9775.0,3892,242424.00000000003,595.4000000000668,0.4416414965164511
0.5,5.0,0.25,open_33,5,0,0.9750260145681582,13625.0,11230,606060.0,592.8000000000662,0.3835497709863702
0.5,5.0,0.25,open_33,5,1,1.0,17250.0,2921,197113.62573437602,193.5999999999933,0.5118864235541813
0.5,5.0,0.25,open_33,10,0,1.0,18775.0,3950,247813.926497075,121.69999999999736,0.4947304707289094
0.5,5.0,0.25,open_33,10,1,1.0,17200.0,3144,211509.0053338129,104.09999999999836,0.5302503020370513
0.5,5.0,0.25,open_33,20,0,1.0,19100.0,3112,205500.97825855576,50.50000000000045,0.5200372000752682
0.5,5.0,0.25,open_33,20,1,1.0,21125.0,4031,253249.82281072112,61.90000000000061,0.478875199023702
0.5,5.0,0.25,partial_33,2,0,0.9647798742138365,2350.0,2138,242424.00000000003,669.1000000000836,0.5640719932740846
0.5,5.0,0.25,partial_33,2,1,1.0,4950.0,1507,137195.3527897132,343.20000000000954,0.6471429331340173
0.5,5.0,0.25,partial_33,5,0,1.0,5700.0,1838,200697.3311055397,212.19999999999223,0.6567104386179894
0.5,5.0,0.25,partial_33,5,1,0.9949685534591195,10600.0,6074,606060.0,699.8000000000906,0.4250907514036043
0.5,5.0,0.25,partial_33,10,0,1.0,12400.0,2540,226295.06380937924,116.09999999999768,0.5573775761536662
0.5,5.0,0.25,partial_33,10,1,0.9836477987421384,11275.0,9211,1212120.0,721.9000000000956,0.3924911085558632
0.5,5.0,0.25,partial_33,20,0,1.0,11925.0,2318,211499.67896109447,54.500000000000504,0.5840123300490254
0.5,5.0,0.25,partial_33,20,1,1.0,11400.0,2668,232148.25085343095,59.80000000000058,0.5829632690229746
0.5,5.0,0.25,closed_33,2,0,0.22145328719723184,0.0,1373,242424.00000000003,723.4000000000959,-0.19740821254368165
0.5,5.0,0.25,closed_33,2,1,0.29411764705882354,0.0,826,242424.00000000003,732.2000000000979,-0.09912197810851248
0.5,5.0,0.25,closed_33,5,0,0.6695501730103807,2450.0,2469,606060.0,726.0000000000965,0.21489193716702368
0.5,5.0,0.25,closed_33,5,1,0.49653979238754326,2200.0,2555,606060.0,733.1000000000981,0.03671617396113283
0.5,5.0,0.25,closed_33,10,0,1.0,8550.0,1845,235449.40139737353,128.99999999999696,0.5659977777305618
0.5,5.0,0.25,closed_33,10,1,0.9896193771626297,6175.0,3777,1212120.0,730.3000000000975,0.4564315871931033
0.5,5.0,0.25,closed_33,20,0,0.9602076124567474,9075.0,11619,2424240.0,730.9000000000976,0.34103155153769005
0.5,5.0,0.25,closed_33,20,1,1.0,9250.0,1850,195828.64826443372,51.90000000000047,0.567707146168631
0.5,5.0,0.5,open_33,2,0,0.8220603537981269,7550.0,4131,242424.00000000003,591.4000000000659,0.3315000572462645
0.5,5.0,0.5,open_33,2,1,0.9979188345473465,9525.0,3872,242424.00000000003,595.6000000000669,0.4940886720846661
0.5,5.0,0.5,open_33,5,0,1.0,14175.0,2897,194952.6417710937,192.79999999999333,0.5512609570907825
0.5,5.0,0.5,open_33,5,1,1.0,18000.0,3018,201925.37789021397,199.69999999999294,0.4995639253923684
0.5,5.0,0.5,open_33,10,0,1.0,19075.0,3812,246010.0613157926,120.9999999999974,0.4928966483819591
0.5,5.0,0.5,open_33,10,1,1.0,19825.0,3140,209164.73944673268,103.3999999999984,0.49781980654441954
0.5,5.0,0.5,open_33,20,0,1.0,21725.0,5258,310946.84707129234,77.39999999999988,0.4565507504407346
0.5,5.0,0.5,open_33,20,1,1.0,21875.0,4607,286411.91932779923,70.80000000000025,0.4615596576552673
0.5,5.0,0.5,partial_33,2,0,0.9987421383647799,950.0,2469,242424.00000000003,647.5000000000787,0.6129583777452678
0.5,5.0,0.5,partial_33,2,1,0.8176100628930818,3275.0,2814,242424.00000000003,640.200000000077,0.38002495872490205
0.5,5.0,0.5,partial_33,5,0,0.9974842767295597,12800.0,6984,606060.0,686.9000000000876,0.3904224869926345
0.5,5.0,0.5,partial_33,5,1,1.0,10975.0,2027,174529.3559188319,176.49999999999426,0.5772579465876972
0.5,5.0,0.5,partial_33,10,0,1.0,12875.0,3455,274340.8841588483,141.39999999999625,0.5290857030293967
0.5,5.0,0.5,partial_33,10,1,1.0,12700.0,2716,264895.64512395766,139.69999999999635,0.5446644890350701
0.5,5.0,0.5,partial_33,20,0,1.0,16975.0,4434,349050.0394398379,90.09999999999916,0.46858701474865133
0.5,5.0,0.5,partial_33,20,1,1.0,15050.0,2702,215373.66288812738,54.90000000000051,0.5281988105126788
0.5,5.0,0.5,closed_33,2,0,0.11764705882352941,0.0,621,242424.00000000003,731.1000000000977,-0.2971892578995798
